atm13C	atmCO2
-6.74	296.57
-6.75	296.89
-6.76	297.22
-6.76	297.55
-6.78	297.89
-6.79	298.24
-6.8	298.58
-6.81	298.93
-6.82	299.28
-6.83	299.63
-6.84	299.98
-6.85	300.33
-6.85	300.68
-6.86	301.03
-6.86	301.38
-6.87	301.72
-6.87	302.07
-6.87	302.41
-6.87	302.74
-6.87	303.07
-6.87	303.4
-6.87	303.74
-6.86	304.08
-6.86	304.43
-6.86	304.78
-6.86	305.15
-6.86	305.52
-6.86	305.91
-6.87	306.32
-6.88	306.74
-6.89	307.18
-6.89	307.62
-6.9	308.07
-6.91	308.52
-6.92	308.95
-6.93	309.38
-6.93	309.78
-6.93	310.12
-6.94	310.39
-6.95	310.58
-6.96	310.71
-6.96	310.79
-6.97	310.83
-6.97	310.84
-6.98	310.85
-6.98	310.87
-6.98	310.94
-6.98	311.07
-6.98	311.29
-6.98	311.61
-6.98	312.01
-6.98	312.48
-6.98	313.02
-6.99	313.6
-7	314.2
-7	314.75
-7.01	315.2
-7.02	315.51
-7.04	315.75
-7.06	316.42
-7.08	317.24
-7.11	318.06
-7.15	318.74
-7.19	319.27
-7.23	319.83
-7.26	320.71
-7.29	321.69
-7.3	322.64
-7.31	323.85
-7.32	325.06
-7.33	325.97
-7.35	326.98
-7.37	328.52
-7.4	329.88
-7.44	330.68
-7.49	331.6
-7.54	332.88
-7.55	334.53
-7.56	336.1
-7.58	337.74
-7.61	339.37
-7.64	340.78
-7.68	342.2
-7.71	343.79
-7.71	345.27
-7.72	346.67
-7.75	348.31
-7.8	350.35
-7.84	352.31
-7.86	353.78
-7.86	355
-7.85	355.93
-7.85	356.71
-7.88	357.95
-7.92	359.75
-7.95	361.59
-7.98	363.19
-8.03	365.2
-8.06	367.41
-8.06	368.92
-8.07	370.35
-8.11	372.17
