JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
59.4	73.5	107.1	72.4	70.3	49.7	49.3	47.6	67.1	103	59	79.8
28.3	137.8	33.3	70.4	70	68.1	46.9	48.2	53.8	78	134.5	70.2
57.7	30.9	61.5	70.6	136.9	76.2	55.5	28.6	68.8	81.4	56.3	149.9
108	118.5	89.39999	66.3	36.7	65.1	21.2	22.6	53	39.7	49.60001	88.09999
55.2	49	82.6	62.6	55.4	60	64.5	40.7	51	43.2	122	28.89999
68	100.1	47.8	108.2	75.6	51.40001	22.2	3.799999	78	116.6	113.1	82.7
25.2	65.20001	27.5	108.8	95.3	14	31.1	45.1	83.5	178.1	68.8	94.3
83.9	39.8	81.4	66.2	81.9	104.8	7.100002	45.7	72.5	83.2	75.7	110.7
39.5	30.7	108.9	25.2	51.9	82.8	11.6	36.1	84.8	75.5	102.2	166.9
61.3	73.8	49.5	82.3	96.2	89	33.9	17.3	47	89.5	99.5	195.3
53.3	7.800003	85.5	25.3	85.1	113.7	39.4	33.9	53.9	166	150.2	79.2
87.2	96.10001	80	55.8	44.2	40.2	94.5	46.2	48.6	66.3	72.80001	16.3
93.8	66	46.5	81.8	100.2	41.9	12.8	38.9	95.2	122.6	108.1	57.9
38.2	76.3	92.39999	66.7	87.3	97.9	82.3	33	30.4	92.49999	71.80001	124.3
144.2	124.4	92.9	59.3	126.1	51.1	26	17.5	67.6	82.3	108.8	137.2
20.4	134	121.7	90.4	72.1	49.5	62.6	4.899998	59.2	36	114.7	191.5
123.2	103.8	125.6	72.7	77	72.6	24.3	45.5	39.4	99.1	35.8	85.6
76.4	20.2	105.5	136.3	77.2	58.4	15	24.9	135.2	131.7	91.90001	79.4
126.7	173.7	123.3	105.1	76	42.5	39	10.3	129.1	149.8	168.4	73.1
34.4	31	74.9	62.1	69	36.4	17.8	15.6	37.6	113.3	62.2	73
50.3	48	41.1	29.8	140	57.4	19.7	62.1	49.1	61.4	64.10001	74
146.1	58.60001	121.4	82.3	49.3	71.8	15.1	66.7	52.8	91.09999	45.3	73
49.9	85.9	64.7	83.6	50	10.3	54.9	35.6	63.4	101.2	209.8	65.7
57.8	91.4	99	54.9	54.2	26.2	16.9	13.1	78.5	73.5	106.2	80.9
48.6	101.6	49.7	93	80.4	89.3	43.6	57.1	35.7	95	95.00001	136.5
58.7	109.6	108.9	80.6	60.1	41.6	7.800003	26.5	22.5	125.2	156.2	56.3
104.8	52.7	120.7	45.1	78.3	41.2	60.60001	71	78.3	86.5	145.3	181.6
87.8	42.6	99.70001	118	114	48.2	11.5	75.1	40.8	79.9	60.8	98.4
