JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
3.3	1.9	4.599999	8.400001	10.5	15.1	17.2	17.2	14.4	9.2	4.8	3.1
3.4	3.6	6.8	8.3	8.7	12.8	16.5	16.4	14	9.6	6.9	4.200001
3.6	5.1	6.4	7.4	9.7	12.9	16.2	16.7	14.1	11.2	7.1	3.2
3.5	4.5	4.5	8.400001	11.6	14.3	17.4	17	13.6	11.1	5.7	5.300001
2.6	3.4	6.9	8.7	9.8	13.6	17.4	16.3	13.4	8.6	5.1	3.8
4.3	3.3	5.1	6.5	9.900001	14.8	16.5	18	14.8	11.1	6.4	3.4
2.6	2.6	6.2	7.4	9.5	13.7	15.3	17	15.2	9.5	6.8	5.9
3.4	4.6	4.5	6.3	11.8	13.4	16.3	16.5	14.7	11.7	7.4	4.900001
2.5	2.4	4.8	8.8	10.9	12	15.6	16.8	13.1	11.3	5.7	5.2
3.6	5.4	5.2	7.1	9	13.8	15.3	16	13.7	10.5	6.5	5.5
1.4	4.3	5.1	6.400001	10.2	13.3	18.1	18.2	16.6	10.1	6.5	6.1
4.1	6.2	7.3	7.8	11.5	13.1	15.5	14.5	12.8	9.5	5.7	4.3
5.2	4.3	6.4	7.1	10.4	14.5	16	16.3	13.8	10.7	8.1	3.8
1.5	5.6	6.599999	8.7	10.2	12.6	15.5	16.5	15.2	10.3	6	5
3.3	4	5.5	6.5	11	13.6	16.3	17	14.2	9.400001	5.6	6
4.8	4.3	4.5	7.7	10.9	12.8	15.9	17.3	14	11.1	6.7	4.7
2	2.9	4.4	6	11.1	14.3	17	15.8	15.4	9.1	6.7	2.5
3.8	4.9	5.3	6.3	11	13.9	16.4	17.2	14.1	8.700001	6.1	5.9
2.8	4.9	5.4	6.7	10.8	14.6	14.9	17.7	15	8.400002	4.599999	4.3
4.3	5.3	6.4	8.200001	11.4	14	15.7	15.7	14.5	10.5	6.2	4
4.7	4.2	5.9	7.4	10.3	14.6	17.8	16.5	15.7	13	6.3	4.5
3.9	5.1	5.4	7.200001	12.3	13.6	15.6	16.3	13.1	10.1	6.1	3.9
3.1	5.7	6.9	7.200001	10.3	13.2	17.5	17.9	14.1	11.8	5.5	3.8
4.3	2.3	6	8	11.8	14.5	16.6	15.6	14.4	11.1	6.9	4.8
4	4.5	3.7	7.200001	9.6	14.2	15.4	16.4	13.6	10.9	4.9	4.8
4.6	7.4	7	8.3	9.400001	13.1	16.6	18	17.3	12.1	6.9	3
4.1	4.1	7.2	9	11.6	14.3	15.5	16.2	14	11.4	6.1	4.7
3.9	5.8	6.4	7.3	9.2	14.3	18.6	17.6	15.3	11.1	6.9	3.6
1.7	3.8	6.3	7.900001	10	14.8	17.2	16.5	15.8	10.7	7	6.2
5	2.4	6.4	7.1	10.6	14	15.7	17.3	15.4	12.4	8.3	5.6
3.9	4.3	6.4	8	10.4	15.5	16	16.1	13.2	10.7	7.2	3.1
3.6	1.7	6.2	6.6	10	13.2	15.1	17.7	15.2	10.2	7.4	5.300001
2.5	4	6.599999	9.3	12.1	13	17.5	19.2	15.3	11	4.9	1
2.5	2.8	4.9	7.200001	11.6	15.2	17.7	15.8	15.7	11.5	4.5	7
2.4	4.3	6	7.900001	8.6	13.8	17.3	16.4	15.4	9.700001	6.1	5
6	5.3	6.3	7.3	9.2	12.6	15.3	17	15.3	9	6.3	4.1
4.7	6.5	5.3	8.5	11	13.9	17	17.5	14.6	10.9	7.4	3.9
3.6	3.4	7.1	7.7	9.6	14.8	16	16.5	13.8	11.3	8.7	4.200001
5.5	4.9	5.6	7.8	9.7	13.2	15.6	16.2	14.9	9.900002	7.5	4
2.4	5.8	7.5	8.400001	10.5	13.7	15.5	16.9	14.6	9.400001	6.599999	2.5
2.3	4.9	6.2	6.900001	8.2	14	16.6	15.9	14.9	10.9	5.9	3.3
2.6	1.8	6.9	8.400001	10.9	14.7	16.2	16.5	14.8	12.1	6.1	4.6
4.7	4.5	6.1	9.800001	12.2	15.7	16.6	17.7	14.3	10.7	5.7	3.9
3.3	2.2	5.3	9.3	11.3	14.3	16.4	17.6	14.6	8.900001	7.1	3.6
0.4000001	5.7	6.8	10.3	11.6	15.5	17.2	16.1	15.9	12	7.7	5.5
1.9	5.3	5.6	8	9.1	13.3	17	16.5	15.3	11.6	6.9	3
2.3	3.6	7.1	9.3	10.7	15.4	17.8	17.9	15.2	11.6	9.1	3.9
5.5	4.9	8.400001	8.1	10.4	14.5	15.7	16.7	15.1	11.1	8	5.6
4.2	5.1	5.6	9.5	9.900001	15	18.2	18.2	16.1	12.1	7.3	4.7
3.3	5.7	6.599999	7.5	10.6	15.2	17.6	16.7	14.4	10.9	8.1	2.7
4.2	3.9	5.6	7.6	8.400001	14.1	17.2	15.7	15.4	9.6	7.6	5.5
2.6	3.7	8.400001	8.7	12	16.1	16.9	17	12.6	11.7	7	4.7
1.5	2.8	6.4	7.900001	12.6	12.9	16	18	15.2	10.7	7.1	7.7
2.5	3	6.4	7.1	10.2	13.2	15.2	15.7	14.9	12.2	8.5	5.6
6.5	4.4	4.7	9.6	11.7	14.4	17.5	18.1	15.1	10.5	6.5	6.6
4.7	2.9	6.1	7.1	11	12.8	15.9	15.6	14.9	10.5	5	3.9
2.2	6.599999	9.1	7.6	9.7	13.8	16.7	16.9	15.1	10.7	5.8	3.6
4.2	6.1	6.2	7	11.8	13.4	15.9	16.6	16.8	10.8	6.599999	5.8
4.7	4.4	7.3	8.400001	10.8	14.6	17.8	17.3	15.5	11.3	6.9	6.1
4	4.9	7.7	8.3	12.1	15.8	15.8	16.2	14.3	9.6	7.7	3.5
3.6	7.8	8.6	9.400001	12	14.7	16.4	17.1	16.4	10.8	6.599999	5.9
4.8	4.3	4.8	7.900001	10.5	14.8	16.3	17.7	15.7	12	5.1	2.9
2	1.6	6.2	7.6	10.3	13.5	16.8	15.3	14.1	12.6	8.1	2.8
2.2	5.3	5.5	7.8	13.6	14.4	17.7	17.3	17	9.800001	6.7	3.4
3.5	2.2	6.599999	7.900001	12.2	15	15.3	16.7	12.6	11.8	6.5	6.2
5.8	7.1	6	8.5	11.5	13.7	15.9	16.7	16.7	10.4	5.1	5.5
3.6	5	7.6	7.3	9.2	13.5	18	16.7	14.3	12.6	7.1	3.8
4.7	4.8	5.6	7.7	9.8	14.8	16.7	16.7	14.2	13.7	7.9	5.300001
5	2.6	5.7	7.900001	10	12.8	18	17	13.2	12.3	6.3	3.9
5.1	5	4.2	7.3	10.9	14.7	17.1	16.5	16.7	10.4	9.3	2.1
3.4	5	3.5	8.1	9.5	12.2	17.1	15.9	15.4	12.7	5.6	4.900001
2.9	4.7	6.1	7.5	9.2	12.4	16.4	15.6	12.6	10	7.8	4.8
3.5	3.8	5.5	7.4	11	14.3	16	18.7	15.2	10.3	7.2	4
5.7	4.7	6	7.1	10.6	14	16.4	16.5	13.7	7.900001	7.6	5.9
5.6	5.8	4.4	7.8	9.400001	14.3	17.7	17.5	13.9	11.2	6.9	2.9
3.2	5.3	6.2	7.1	11.5	16.6	17.7	17.4	13.9	10.2	5.9	5.2
3.9	6.7	7.4	7.8	9.3	12.3	14.9	15.3	15	12.1	7	6.6
3.7	5.8	6.8	6.7	9.7	12.6	15.9	17.1	15.9	11.3	7	6.5
4.2	5.2	6	6.900001	10.5	14.5	17.3	16.5	15.1	11.2	6.4	5.9
3.5	6	6	7.200001	9.400001	13.1	15.4	17.4	16.3	10.7	6.2	3.6
4.5	3.6	8.3	7.8	9.7	15.1	16.2	18.1	15.7	11.5	8.8	6.2
6.3	5.6	6.4	9	11.4	15.2	17.5	17	15.6	10.4	7.5	5.300001
4.6	3.2	7.4	7.200001	8.8	15.3	18	16.7	16.6	12	9.5	5.5
4.7	4.2	4.4	10.3	7.200001	13.9	17.5	16.7	14.5	11.1	8	5.300001
1.4	6	5.2	8.8	9.7	14.2	18	16.6	18	12.8	5.6	5
4.4	3.4	6.1	4.8	11.8	14.8	17.7	16.3	15.5	12.6	7.4	5.9
2	4.7	6.9	9.5	10.7	14.1	17	18.2	17.7	10.6	7.5	6.5
6.400001	5.2	6.8	8.5	10.7	13.5	15.9	17.4	15.7	12.5	7.9	5.2
4.1	5.8	8.5	6.5	13.4	15.8	19.3	18.6	15.3	13.1	8.8	7.900001
4.5	8.7	8.1	7.5	13.4	15.3	19.2	19.4	16.8	11.8	7.1	3.6
3.9	3.5	7.6	7.3	10.4	14.4	17.9	19.7	17.1	9.900002	7.3	4.900001
