Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
0.323	0.389	0.502	0.665	0.832	1.184	1.516	1.366	0.944	0.602	0.436	0.337
0.34	0.368	0.613	0.641	0.82	1.051	1.416	1.348	1.019	0.597	0.393	0.304
0.325	0.465	0.591	0.699	0.819	1.094	1.431	1.371	0.982	0.583	0.381	0.29
0.28	0.337	0.512	0.761	0.991	1.274	1.668	1.484	1.011	0.648	0.39	0.267
0.294	0.395	0.506	0.678	0.9	1.176	1.769	1.489	1.073	0.575	0.341	0.291
0.265	0.33	0.509	0.607	0.874	1.262	1.77	1.868	1.247	0.652	0.39	0.275
0.287	0.337	0.55	0.572	0.8	1.196	1.61	1.783	1.321	0.587	0.382	0.254
0.272	0.352	0.442	0.53	0.882	1.123	1.656	1.608	1.307	0.768	0.431	0.287
0.291	0.363	0.383	0.612	0.799	0.962	1.546	1.576	1.134	0.758	0.384	0.28
0.325	0.342	0.499	0.53	0.669	0.99	1.357	1.443	1.128	0.697	0.409	0.317
0.327	0.447	0.472	0.572	0.719	0.954	1.563	1.579	1.29	0.652	0.438	0.333
0.324	0.427	0.551	0.638	0.825	0.964	1.267	1.246	0.956	0.641	0.423	0.381
0.314	0.446	0.562	0.569	0.794	1.171	1.348	1.294	0.969	0.645	0.388	0.324
0.305	0.436	0.529	0.699	0.855	1.047	1.359	1.365	1.058	0.606	0.386	0.295
0.259	0.363	0.52	0.662	0.82	1.084	1.533	1.41	1.028	0.558	0.334	0.251
0.309	0.367	0.466	0.669	0.886	1.101	1.507	1.438	1.066	0.618	0.368	0.255
0.237	0.336	0.476	0.602	0.843	1.291	1.753	1.462	1.265	0.627	0.384	0.263
0.232	0.366	0.466	0.55	0.849	1.314	1.691	1.649	1.103	0.604	0.355	0.245
0.259	0.264	0.404	0.582	0.849	1.308	1.474	1.797	1.232	0.561	0.357	0.276
0.266	0.376	0.49	0.564	0.84	1.141	1.61	1.59	1.3	0.648	0.423	0.27
0.315	0.374	0.499	0.582	0.783	1.168	1.756	1.635	1.374	0.799	0.483	0.335
0.331	0.404	0.498	0.5	0.848	1.097	1.501	1.549	1.212	0.752	0.468	0.391
0.338	0.403	0.532	0.59	0.743	1.02	1.514	1.628	1.186	0.749	0.438	0.344
0.331	0.419	0.504	0.638	0.827	1.124	1.457	1.336	1.097	0.677	0.487	0.369
